Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5",1206,5,C 0.01uF,"C1846"
"C10, C11, C12",1206,3,C 1uF,"C1848"
D1,0603,1,LED,"C2286"
"D2, D3, D4, D5",D_SMA,4,D SS34 C8678,"C8678"
"J1, J2, J3, J4",USB_A_Receptacle_C668591,4,USB_A C668591,"C668591"
J5,USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A,1,USB_C_Receptacle_USB2.0_14P,"C165948"
"R1, R2, R3, R4, R5",0603,5,R 100k,"C25803"
"R10, R11, R12, R9",0603,4,R 27,"C2907018"
"R6, R7",0603,2,R 5.1K,"C23186"
R8,0603,1,R 1K,"C21190"
U1,SOIC-16W_7.5x10.3mm_P1.27mm,1,ADUM4160,"C579406"
U2,CH334P,1,CH334P,"C5373042"
U3,SOT95P280X145-5N,1,TLV73333PDBVR,"C134139"
