Designator,Mid X,Mid Y,Rotation,Layer
C1,89.0,-120.025,90.0,top
C10,89.0,-107.525,270.0,top
C11,102.8,-122.675,270.0,top
C12,107.875,-102.8,0.0,top
C2,180.75,-119.075,90.0,top
C3,162.75,-118.975,90.0,top
C4,144.75,-118.975,90.0,top
C5,126.75,-118.975,90.0,top
D1,106.9,-115.0,270.0,top
D2,167.5,-115.0,180.0,top
D3,149.5,-115.0,180.0,top
D4,131.5,-114.9,180.0,top
D5,113.2,-115.0,180.0,top
J1,172.0,-123.0,0.0,top
J2,154.0,-123.0,0.0,top
J3,136.0,-123.0,0.0,top
J4,118.0,-123.0,0.0,top
J5,96.0,-126.0,0.0,top
R1,89.0,-124.325,90.0,top
R10,107.075,-104.8,180.0,top
R11,96.6,-118.325,90.0,top
R12,95.1,-118.375,270.0,top
R2,180.75,-122.925,90.0,top
R3,162.75,-122.825,90.0,top
R4,144.75,-122.825,90.0,top
R5,126.8,-122.75,90.0,top
R6,93.6,-118.375,90.0,top
R7,98.1,-118.325,90.0,top
R8,106.9,-111.975,270.0,top
R9,107.075,-106.3,0.0,top
U1,97.9,-107.3,270.0,top
U2,111.5,-108.25,90.0,top
U3,102.8,-117.3,90.0,top
